filename,width,height,class,xmin,ymin,xmax,ymax
frame18350.jpg,540,360,horse,438,118,526,224
frame18350.jpg,540,360,car,342,131,407,185
frame18350.jpg,540,360,car,179,114,343,255
frame18350.jpg,540,360,carriage,33,118,188,198
frame18350.jpg,540,360,trolley,182,115,215,150
frame1573.jpg,540,360,carriage,177,72,282,210
frame1573.jpg,540,360,carriage,291,74,391,173
frame1573.jpg,540,360,car,385,81,469,187
frame1573.jpg,540,360,car,450,103,551,222
frame14422.jpg,540,360,carriage,348,85,528,241
frame16235.jpg,540,360,carriage,301,139,398,206
frame16235.jpg,540,360,carriage,196,114,267,193
frame16235.jpg,540,360,carriage,381,110,444,191
frame16235.jpg,540,360,carriage,459,112,530,193
frame11759.jpg,540,360,trolley,-9,49,121,292
frame11759.jpg,540,360,person,331,185,406,358
frame11759.jpg,540,360,person,417,162,514,356
frame11759.jpg,540,360,car,375,129,553,330
frame11759.jpg,540,360,carriage,287,108,371,194
frame16585.jpg,540,360,carriage,395,109,545,320
frame16585.jpg,540,360,carriage,319,82,461,226
frame16585.jpg,540,360,carriage,194,111,257,180
frame16585.jpg,540,360,carriage,108,114,169,181
frame16585.jpg,540,360,cyclist,271,132,287,167
frame16585.jpg,540,360,cyclist,65,135,99,214
frame12898.jpg,540,360,person,203,144,271,313
frame12898.jpg,540,360,carriage,244,65,446,228
frame1160.jpg,540,360,carriage,179,77,289,224
frame1160.jpg,540,360,carriage,337,75,436,171
frame1160.jpg,540,360,carriage,421,57,539,199
frame1160.jpg,540,360,carriage,257,76,322,144
frame1160.jpg,540,360,carriage,154,84,216,156
frame1160.jpg,540,360,car,-7,151,78,317
frame1202.jpg,540,360,carriage,174,69,280,221
frame1202.jpg,540,360,carriage,438,77,547,212
frame1202.jpg,540,360,carriage,313,72,436,177
frame1202.jpg,540,360,car,0,98,101,281
frame1202.jpg,540,360,carriage,159,87,214,153
frame18780.jpg,540,360,car,-6,103,334,320
frame18780.jpg,540,360,trolley,158,100,211,161
frame18780.jpg,540,360,carriage,223,117,351,166
frame18780.jpg,540,360,person,286,131,326,179
frame18780.jpg,540,360,person,186,127,211,169
frame18780.jpg,540,360,person,343,135,364,174
frame18780.jpg,540,360,car,490,121,539,201
frame10486.jpg,540,360,person,371,128,434,270
frame10486.jpg,540,360,person,422,138,468,267
frame10486.jpg,540,360,person,172,127,230,220
frame10486.jpg,540,360,person,33,131,65,196
